row,timestamp,expected_scenario,expected_substate,expected_phase,expected_b1_block,expected_b2_pink,notes
1,03.02 04:00,F2,sideway_D1,PH_1,FALSE,FALSE,H4=511 mid=1 D1 mid=3 (sideway) — F2 per analysis
2,03.02 08:00,F2,sideway_D1,PH_1,TRUE,FALSE,M15 mid=3 blocks; M15 in SQZ but M30 not — no pink
3,03.02 12:00,F2,sideway_D1,PH_1,FALSE,FALSE,
4,03.02 16:00,F2,sideway_D1,PH_1,TRUE,FALSE,M15 mid=4 blocks; M15 in SQZ but M30 not
5,03.02 20:00,S1,compression_onset,PH_2,FALSE,FALSE,H4 fly-+ mid=1 D1 sideway; M30 flips SELL
6,03.03 04:00,S3,h1_onset,PH_2,FALSE,FALSE,H1 enters SQZ this bar = onset → S3 per Decision 5 (not C2)
7,03.03 07:45,C2,deep_compression,PH_2,FALSE,FALSE,BUY entry; M15 mid=5 (not >=3) no block
8,03.03 08:00,C1,compression_late,PH_2,FALSE,FALSE,M30 mid=3 but M30 not SQZ — no pink
9,03.03 12:00,C1,compression_late,PH_2,FALSE,FALSE,
10,03.03 16:00,F2,sideway_D1,PH_3A,FALSE,FALSE,H4 mid=3 (sideway) phase 3a begins — cas_sqzCount=0, no confirmed compression, LTF opposition → F2
11,03.03 20:00,F2,sideway_D1,PH_3A,FALSE,FALSE,H4 mid=3 continued — corrected: all fly, cas_sqz=0, D1 counter
12,03.04 04:00,S3,h1_shrink,PH_3A,TRUE,FALSE,M15 mid=3 blocks; M30 SQZ but M15 not
13,03.04 08:00,S3,h1_shrink,PH_3A,FALSE,FALSE,H4 mid=4 (side-dn weakening)
14,03.04 12:00,S3,h1_shrink,PH_3A,TRUE,FALSE,M15 mid=3 blocks
15,03.04 16:00,S3,h1_shrink,PH_3A,FALSE,FALSE,
16,03.04 20:00,C1,compression_late,PH_3B_INTO,FALSE,FALSE,H1-SQZ established (2+ bars) → C1 per Decision 6
17,03.05 04:00,C1,compression_late,PH_3B_INTO,FALSE,FALSE,H4=522 fly-+ bearish contracting
18,03.05 08:00,C1,compression_late,PH_3B_INTO,TRUE,FALSE,M15 mid=3 blocks
19,03.05 12:00,S3,h1_shrink,PH_3B_INTO,TRUE,FALSE,M15 mid=3 blocks; H1 shrink + M30 SQZ, depth=3 → S3 (Decision 3)
20,03.05 16:00,C4,h4_shrink_onset,PH_3B_INTO,FALSE,FALSE,H4 diffBBW=-48.9 strongly negative
21,03.05 20:00,C4,h4_shrink_onset,PH_3B_INTO,FALSE,FALSE,
22,03.06 04:00,C4,h4_shrink_onset,PH_3B_INTO,TRUE,FALSE,M15 mid=3 blocks; M30 SQZ but M15 not
23,03.06 08:00,C4,h4_confirmed_shrink,PH_3B_INTO,FALSE,FALSE,H4=523 confirmed shrink diffBBW=-101
24,03.06 12:00,C4,h4_confirmed_shrink,PH_3B_INTO,FALSE,FALSE,
25,03.06 16:00,C4,h4_confirmed_shrink,PH_4,TRUE,FALSE,M15 mid=3 blocks; approaching SQZ floor
26,03.06 20:00,C4,h4_confirmed_shrink,PH_4,FALSE,FALSE,H4 mid=4 (side-dn) SELL weakening
